class_category_id,class_name_id,creator_id,name,rank,create_date,update_date,del_flg
145,4,2,18.5cm,27,"2014-09-29 11:09:04","2014-09-29 11:09:04",0
146,4,2,18.0cm,28,"2014-09-29 11:09:09","2014-09-29 11:09:09",0
147,4,2,17.5cm,29,"2014-09-29 11:09:13","2014-09-29 11:09:13",0
148,4,2,17.0cm,30,"2014-09-29 11:09:17","2014-09-29 11:09:17",0
149,4,2,16.5cm,31,"2014-09-29 11:09:21","2014-09-29 11:09:21",0
150,4,2,16.0cm,32,"2014-09-29 11:09:24","2014-09-29 11:09:24",0
151,4,2,15.5cm,33,"2014-09-29 11:09:28","2014-09-29 11:09:28",0
152,4,2,15.0cm,34,"2014-09-29 11:09:32","2014-09-29 11:09:32",0
153,4,2,14.5cm,35,"2014-09-29 11:09:36","2014-09-29 11:09:36",0
154,4,2,14.0cm,36,"2014-09-29 11:09:40","2014-09-29 11:09:40",0
155,4,2,13.5cm,37,"2014-09-29 11:09:44","2014-09-29 11:09:44",0
156,4,2,13.0cm,38,"2014-09-29 11:09:48","2014-09-29 11:09:48",0
157,4,2,12.5cm,39,"2014-09-29 11:09:51","2014-09-29 11:09:51",0
158,4,2,12.0cm,40,"2014-09-29 11:09:56","2014-09-29 11:09:56",0
159,4,2,11.5cm,41,"2014-09-29 11:10:00","2014-09-29 11:10:00",0
160,4,2,11.0cm,42,"2014-09-29 11:10:04","2014-09-29 11:10:04",0
161,4,2,10.5cm,43,"2014-09-29 11:10:07","2014-09-29 11:10:07",0
162,4,2,10.0cm,44,"2014-09-29 11:10:12","2014-09-29 11:10:12",0
163,7,2,"ヘアセット(浴衣)3,240円",4,"2015-04-02 17:58:53","2016-07-14 18:26:07",0
164,7,2,"ヘアセット(カジュアル着物) 3,240円",5,"2016-07-14 18:26:17","2016-07-14 18:26:35",0
165,9,2,10代,9,"2017-08-01 15:34:52","2017-08-01 15:39:47",0
166,9,2,20代,8,"2017-08-01 15:36:21","2017-08-01 15:39:47",0
167,9,2,30代,7,"2017-08-01 15:36:27","2017-08-01 15:39:47",0
168,9,2,40代,6,"2017-08-01 15:36:35","2017-08-01 15:39:47",0
169,9,2,50代,5,"2017-08-01 15:36:42","2017-08-01 15:39:47",0
170,9,2,10歳以下,10,"2017-08-01 15:37:21","2017-08-01 15:39:47",0
171,9,2,60代,4,"2017-08-01 15:37:45","2017-08-01 15:39:47",0
172,9,2,70代,3,"2017-08-01 15:38:00","2017-08-01 15:39:47",0
173,9,2,80代,2,"2017-08-01 15:39:14","2017-08-01 15:39:47",0
174,9,2,90歳以上,1,"2017-08-01 15:39:41","2017-08-01 15:39:47",0
175,7,2,ああああああ,6,"2018-06-21 17:17:16","2018-06-21 17:18:32",1
176,10,2,希望しない,1,"2019-03-29 10:53:59","2019-03-29 10:54:24",1
177,10,2,希望する,3,"2019-03-29 10:54:05","2019-03-29 10:54:55",1
178,10,2,スタジオ撮影,1,"2019-03-29 10:54:34","2019-03-29 10:55:36",1
179,10,2,ロケーションフォト,2,"2019-03-29 10:54:40","2019-03-29 10:55:32",1
